ORDER,Title,categoria,prakarana_label,nom_s,nom_d,nom_p,voc_s,voc_d,voc_p,acc_s,acc_d,acc_p,ins_s,ins_d,ins_p,dat_s,dat_d,dat_p,abl_s,abl_d,abl_p,gen_s,gen_d,gen_p,loc_s,loc_d,loc_p,COMENTÁRIO
26,"१०३. दकारान्तः पुंलिङ्गः ‘तद्’ शब्दः (Ele, aquele, esse)",सर्वनाम,सर्वनामशब्द प्रकरणम्,सः,तौ,ते,–,–,–,तम्,तौ,तान्,तेन,ताभ्याम्,तैः,तस्मै,ताभ्याम्,तेभ्यः,तस्मात्,ताभ्याम्,तेभ्यः,तस्य,तयोः,तेषाम्,तस्मिन्,तयोः,तेषु,एवं ‘त्यद्’ शब्दः
27,"१०४. दकारान्तः स्त्रीलिङ्गः ‘तद्’ शब्दः (Ela, aquela, essa)",सर्वनाम,सर्वनामशब्द प्रकरणम्,सा,ते,ताः,–,–,–,ताम्,ते,ताः,तया,ताभ्याम्,ताभिः,तस्यै,ताभ्याम्,ताभ्यः,तस्याः,ताभ्याम्,ताभ्यः,तस्याः,तयोः,तासाम्,तस्याम्,तयोः,तासु,एवं ‘त्यद्’ शब्दः
28,"१०५. दकारान्तः नपुंसकलिङ्गः ‘तद्’ शब्दः (Ele, aquilo, isso)",सर्वनाम,सर्वनामशब्द प्रकरणम्,तत्,ते,तानि,–,–,–,तत्,ते,तानि,तेन,ताभ्याम्,तैः,तस्मै,ताभ्याम्,तेभ्यः,तस्मात्,ताभ्याम्,तेभ्यः,तस्य,तयोः,तेषाम्,तस्मिन्,तयोः,तेषु,एवं ‘त्यद्’ शब्दः
29,१०६. दकारान्तः पुंलिङ्गः ‘एतद्’ शब्दः (Este),सर्वनाम,सर्वनामशब्द प्रकरणम्,एषः,एतौ,एते,–,–,–,एतम्,एतौ,एतान्,एतेन,एताभ्याम्,एतैः,एतस्मै,एताभ्याम्,एतेभ्यः,एतस्मात्,एताभ्याम्,एतेभ्यः,एतस्य,एतयोः,एतेषाम्,एतस्मिन्,एतयोः,एतेषु,
30,१०७. दकारान्तः स्त्रीलिङ्गः ‘एतद्’ शब्दः (Esta),सर्वनाम,सर्वनामशब्द प्रकरणम्,एषा,एते,एताः,–,–,–,एताम्,एते,एताः,एतया,एताभ्याम्,एताभिः,एतस्यै,एताभ्याम्,एताभ्यः,एतस्याः,एताभ्याम्,एताभ्यः,एतस्याः,एतयोः,एतासाम्,एतस्याम्,एतयोः,एतासु,
31,१०८. दकारान्तः नपुंसकलिङ्गः ‘एतद्’ शब्दः (Isto),सर्वनाम,सर्वनामशब्द प्रकरणम्,एतत्,एते,एतानि,–,–,–,एतत्,एते,एतानि,एतेन,एताभ्याम्,एतैः,एतस्मै,एताभ्याम्,एतेभ्यः,एतस्मात्,एताभ्याम्,एतेभ्यः,एतस्य,एतयोः,एतेषाम्,एतस्मिन्,एतयोः,एतेषु,
32,१०९. दकारान्तः पुंलिङ्गः ‘यद्’ शब्दः (Aquele),सर्वनाम,सर्वनामशब्द प्रकरणम्,यः,यौ,ये,–,–,–,यम्,यौ,यान्,येन,याभ्याम्,यैः,यस्मै,याभ्याम्,येभ्यः,यस्मात्,याभ्याम्,येभ्यः,यस्य,ययोः,येषाम्,यस्मिन्,ययोः,येषु,"एवं यतरत्, यतमत् शब्दौ"
33,११०. दकारान्तः स्त्रीलिङ्गः ‘यद्’ शब्दः (Aquela),सर्वनाम,सर्वनामशब्द प्रकरणम्,या,ये,याः,–,–,–,याम्,ये,याः,याय,याभ्याम्,याभिः,यस्यै,याभ्याम्,याभ्यः,यस्याः,याभ्याम्,याभ्यः,यस्याः,ययोः,यासाम्,यस्याम्,ययोः,यासु,"एवं यतरत्, यतमत् शब्दौ"
34,१११. दकारान्तः नपुंसकलिङ्गः ‘यद्’ शब्दः (Aquilo),सर्वनाम,सर्वनामशब्द प्रकरणम्,यत्,ये,यानि,–,–,–,यत्,ये,यानि,येन,याभ्याम्,यैः,यस्मै,याभ्याम्,येभ्यः,यस्मात्,याभ्याम्,येभ्यः,यस्य,ययोः,येषाम्,यस्मिन्,ययोः,येषु,"एवं यतरत्, यतमत् शब्दौ"
35,११२. दकारान्तः ‘युष्मद्’ शब्दः त्रिषु लिङ्गेषु समानरूपः (Tu),सर्वनाम,सर्वनामशब्द प्रकरणम्,त्वम्,युवाम्,यूयम्,–,–,–,त्वाम्/त्वा,युवाम्/वाम्,युष्मान्/वः,त्वया,युवाभ्याम्,युष्माभिः,तुभ्यम्/ते,युवाभ्याम्/वाम्,युष्मभ्यम्/वः,त्वत्,युवाभ्याम्,युष्मत्,तव/ते,युवयोः/वाम्,युष्माकम्/वः,त्वयि,युवयोः,युष्मासु,
